Abertura_Valvula_Percentual,Vazao_L_min
71.92,34.4
45.11,19.84
78.69,36.42
65.79,32.87
17.53,7.7
88.05,42.49
70.89,31.92
72.89,33.95
20.25,8.09
46.03,21.13
39.66,19.9
84.14,36.95
61.51,29.56
75.82,35.99
45.47,20.48
28.18,11.08
54.37,25.66
15.11,6.31
76.21,36.17
60.53,28.48
70.65,35.61
38.36,17.67
87.66,39.66
81.45,38.55
72.27,34.3
25.57,14.06
47.34,23.5
13.5,6.88
22.34,12.69
64.64,28.6
69.58,31.74
87.4,39.69
36.07,16.37
39.64,16.57
47.56,23.31
25.16,11.49
20.39,7.38
48.06,21.06
28.15,13.7
63.59,31.14
44.97,24.13
76.61,40.38
66.02,31.65
34.99,14.96
76.58,32.79
74.38,35.36
41.0,18.05
33.07,14.92
64.6,29.44
21.18,9.74
25.99,13.81
10.59,5.21
72.95,34.05
63.19,28.15
66.41,28.7
72.46,33.33
46.71,21.87
55.5,28.74
21.18,10.15
19.16,10.48
63.47,29.08
47.69,20.64
55.22,24.51
71.2,32.38
60.78,31.76
54.29,24.28
54.74,26.99
34.32,14.78
12.47,7.26
44.94,21.7
27.17,12.53
42.68,20.0
78.27,35.8
28.72,14.17
14.66,6.21
32.51,13.44
33.49,13.82
62.95,29.85
54.56,28.01
72.71,34.41
63.15,29.5
42.51,20.41
75.12,37.27
23.36,11.31
11.82,4.94
17.2,9.74
67.79,32.5
46.95,24.37
22.9,11.04
50.08,21.7
22.18,8.37
65.71,33.36
45.69,24.06
40.48,18.76
34.12,15.46
60.42,30.59
38.95,16.65
17.01,6.65
19.44,10.1
86.95,40.27
