TV,radio,jornal,vendas
232.2,38.9,33.2,47.73
131.7,48.6,101.0,35.8
257.6,25.0,85.9,38.0
209.2,7.2,12.2,15.21
28.3,0.7,109.7,3.0
292.7,11.5,96.7,27.6
228.3,6.6,31.2,17.58
235.8,33.9,92.1,43.42
38.4,6.1,11.7,8.88
135.1,25.3,109.9,22.09
111.2,34.7,73.2,24.42
278.0,29.1,71.5,44.11
193.2,10.0,9.9,21.02
246.8,40.2,98.7,48.21
133.0,35.8,3.2,29.44
68.2,36.9,26.5,22.29
166.4,6.6,15.7,12.87
19.1,6.2,85.4,3.75
248.3,46.4,21.8,54.87
189.5,19.9,100.2,25.32
227.4,15.0,72.2,26.78
106.4,24.4,4.0,20.0
291.2,33.1,0.6,47.49
267.9,47.8,5.7,60.77
233.5,14.3,66.7,25.03
58.4,46.2,88.2,23.46
140.0,1.2,26.2,9.31
13.1,27.8,93.4,9.04
46.3,31.7,6.3,15.81
204.9,5.3,88.1,17.29
223.4,7.0,102.1,19.44
290.3,21.0,84.9,35.24
97.7,48.3,76.8,30.44
111.1,29.8,92.2,21.71
140.9,46.7,4.4,36.93
56.8,40.2,22.2,17.85
39.0,23.4,13.7,12.22
142.7,39.2,55.5,31.63
68.1,0.9,82.0,4.83
200.9,5.5,69.3,17.11
131.1,41.5,93.6,32.33
249.8,39.8,17.1,49.09
210.1,11.6,80.8,23.36
93.7,26.5,21.2,18.69
249.7,30.3,29.8,41.36
241.4,43.4,78.1,51.9
116.2,30.2,107.8,23.05
86.5,20.6,67.3,16.36
204.7,18.7,6.0,25.96
41.9,21.3,67.8,10.88
60.0,32.6,4.7,18.96
2.2,43.4,97.3,10.26
236.1,22.7,78.1,30.18
199.5,12.4,19.0,23.28
211.5,11.8,10.1,24.95
234.2,37.3,20.2,44.74
137.7,40.8,107.8,30.41
170.6,5.3,50.4,13.89
41.9,3.3,86.2,5.51
34.4,29.7,70.0,12.76
200.5,7.3,63.0,16.28
141.3,41.2,16.0,34.25
169.6,15.5,104.1,21.65
229.5,7.2,33.1,17.65
190.4,46.0,63.6,45.8
166.1,8.3,77.0,18.42
167.8,14.2,71.4,20.22
91.2,7.7,103.5,10.11
9.2,5.8,16.3,4.4
131.0,1.1,55.9,10.25
64.4,2.8,44.4,4.81
122.6,8.7,52.2,13.39
256.0,2.7,13.1,16.63
70.2,29.6,14.8,19.77
17.5,34.0,30.6,11.63
84.4,19.7,33.5,17.18
88.1,15.9,47.1,12.57
198.6,25.2,67.2,31.56
167.1,43.8,69.8,39.75
235.2,42.6,45.3,48.78
